OA,ts006_0001
E00060274,8247.7
E00060275,7746.7
E00060276,5190.4
E00060277,6303.9
E00060279,2613.6
E00060280,5825.8
E00060290,5811.4
E00060364,1060.7
E00060367,552.6
E00060368,4717
E00060369,5693.6
E00060371,4988.8
E00060362,5205.3
E00060363,5297.6
E00060365,1412.2
E00060366,2574.6
E00060370,6184.2
E00060372,6174.2
E00060374,7035
E00060376,4897.3
E00060373,5443.8
E00174092,6044.8
E00174093,8485.6
E00174094,7050.5
E00174100,5734.8
E00174102,1313.8
E00060375,5439.9
E00060377,4843.8
E00174098,10206.2
E00174101,4641.4
E00188243,5517.2
E00188304,2915.9
E00188318,9560.4
E00188332,8414.6
E00060283,3344
E00060284,4175.3
E00060287,1659.4
E00060288,9038.5
E00060289,3518.5
E00060273,2552.9
E00060278,2358.9
E00060281,6328.1
E00060282,758.5
E00060285,5810
E00060286,7886.9
E00060484,8057.7
E00060486,7469.3
E00060489,4431.1
E00060490,6901
E00060491,2522.6
E00060492,4479
E00060472,2193.3
E00060474,442
E00060476,4588.1
E00060478,900.7
E00188301,1972.2
E00188321,3024.1
E00060481,3464.2
E00060482,6697
E00060483,2343.6
E00060485,3522.6
E00060487,10146.3
E00060488,1916.2
E00060493,1704.9
E00060471,313.7
E00060473,5022.8
E00060475,3461.1
E00060479,4097
E00060480,5813.5
E00060291,5232.9
E00060292,2798.7
E00060294,7552.9
E00060306,3682.3
E00060309,6514.2
E00060296,8074.9
E00060297,2186.4
E00060299,11919.2
E00060302,12370.7
E00060304,2655.5
E00060305,9307.7
E00060550,1190.8
E00060552,6062.6
E00165757,2622.1
E00060532,1403.5
E00060533,7048.5
E00060540,5647.6
E00060542,2058.6
E00060554,7811.8
E00060555,4351.6
E00165756,5979.6
E00060293,7592.1
E00060295,7355
E00060298,7575.8
E00060303,9734
E00060307,7191
E00060308,8896.8
E00060310,4585.3
E00174095,6788.3
E00060258,6464.6
E00060259,10700.9
E00060260,2181.6
E00060261,12645.2
E00060262,7185.2
E00060263,6788.1
E00060346,10788.5
E00060348,6640.8
E00060350,6240.6
E00060351,5298.5
E00060337,12749.1
E00060340,9779.6
E00060353,9548.5
E00060354,8714.7
E00060518,5530
E00060519,3976.8
E00060527,13916.7
E00060528,2635.4
E00060529,3483.3
E00060531,661.1
E00060517,4841.1
E00060524,1299.6
E00060525,1856.1
E00060526,1950.7
E00060530,7662
E00060255,5577.6
E00060265,9600
E00060267,8758.6
E00060268,9034.5
E00060269,11276.6
E00060272,7762.2
E00060438,4675.1
E00060449,9607.8
E00060450,3259.5
E00060452,5996.2
E00060445,10120.5
E00060446,12461.5
E00060447,8867.3
E00060448,9055.4
E00060451,5612.4
E00060514,3769.6
E00060515,7087.2
E00060516,12339.2
E00060521,8819.4
E00060523,7062.5
E00165754,465
E00165755,10946.3
E00060256,6704.3
E00060257,4747.1
E00060264,2307
E00060266,3702.7
E00060270,1737.7
E00060271,8249.4
E00060419,531.5
E00060421,8481.8
E00060422,3832.3
E00060424,7750
E00060434,6541.4
E00060435,8169
E00060420,4742.4
E00060423,1726.2
E00060431,3128
E00060432,5217.4
E00060433,9582.2
E00060439,2820.5
E00060440,2969
E00060441,1599.8
E00060443,1944.7
E00060453,5761.4
E00060436,4421.8
E00060437,7893.3
E00060442,4741.1
E00060444,2313.9
E00060456,2659.4
E00060457,2476.2
E00060458,2918.5
E00060468,4764.6
E00060469,5960.1
E00060470,6160
E00060454,5525
E00060455,2895.7
E00060459,4765.6
E00060460,5452.9
E00060461,188.7
E00060467,4496.6
E00060463,5661.1
E00060464,4867.8
E00060465,6480.2
E00060466,6283.8
E00188199,2080.2
E00188305,547.2
E00060494,4316.5
E00060498,5160.3
E00060499,4575.7
E00174089,5259.5
E00060496,5064.3
E00060497,8000
E00060509,5136.1
E00060512,3215.9
E00060513,2224.4
E00060502,3798.8
E00060503,659.6
E00060505,4836.6
E00060507,5798.1
E00174096,867.6
E00174104,3654.8
E00060495,5680.3
E00060500,2971.4
E00060501,30.5
E00060504,2177
E00188226,10044.2
E00188269,617.8
E00188271,6754.2
E00060317,3532.8
E00060321,3748.6
E00060325,5898.5
E00060329,3135.7
E00060336,7969.2
E00060318,6286.3
E00060319,8392.9
E00060322,5737.4
E00060328,2901.2
E00060331,5400.4
E00060401,4322
E00060402,5918.8
E00060404,4383.6
E00060414,3959
E00060415,6886.4
E00060416,5808.4
E00060403,4690.3
E00060408,2418.1
E00060409,7651.3
E00060411,5597.9
E00060412,4400.8
E00060413,3913
E00060400,7441.3
E00060405,5719.6
E00060406,8198
E00060407,6403.9
E00060410,7935.3
E00060311,46.2
E00060312,175.5
E00060313,60.8
E00060315,89.7
E00060316,80.3
E00188179,21.1
E00188246,367.4
E00188283,740.5
E00060330,5547
E00060332,4889.3
E00060333,4042.6
E00060334,3895.7
E00060335,4364.3
E00060320,5393.9
E00060323,5194.2
E00060324,4830.5
E00060326,3860.9
E00060327,4842.9
E00060355,4131.8
E00060356,555
E00060357,830.1
E00060358,28.4
E00060359,4469.8
E00060360,3994.2
E00060361,2841
E00060428,1249.6
E00060429,2010.7
E00060430,2745.1
E00188288,344.3
E00188302,1280.9
E00060536,5053.6
E00060537,3962.6
E00060543,3818.2
E00060546,4024
E00060549,481.8
E00060535,2358.4
E00060541,4343.6
E00060553,3555
E00174090,8699.7
E00174091,5576.6
E00174103,6744.7
E00060338,4357
E00060339,3466.8
E00060347,5301.4
E00060349,3300.5
E00060352,6678.4
E00060341,5869.1
E00060342,8765.8
E00060343,6865.1
E00060344,5058.2
E00060345,12970.3
E00060386,2312.6
E00060387,1124.6
E00060390,4704.9
E00174083,857.9
E00174084,2030.1
E00174085,1135.6
E00174086,3657.1
E00174087,1658.7
E00060381,10379.7
E00060385,10905
E00060388,9936.7
E00060393,10268.8
E00060395,6918.6
E00060396,10666.7
E00060417,1431.4
E00060418,937.8
E00060426,3589.7
E00174088,5650.5
E00174097,4038.7
E00060534,2735.1
E00060544,6811.6
E00060545,5294.1
E00060547,8987.9
E00060548,5560
E00060379,7526.5
E00060382,8343.2
E00060383,6609.2
E00060384,6736.8
E00060391,7339.1
E00060392,7533.6
E00060394,12356.3
E00060397,5820.9
E00060398,8287
E00060399,4400.8
E00060865,19064.3
E00060866,9650.7
E00060875,3132.9
E00060877,7391.3
E00174112,4003.8
E00174119,3708.4
E00060986,5623.2
E00060987,10087.7
E00060990,8377.5
E00174110,18235.3
E00174111,6939.7
E00060989,22346.9
E00060991,21045.8
E00060992,13333.3
E00060993,17051.3
E00060997,18578
E00060869,2642.4
E00060871,4931.5
E00060873,5656.9
E00188254,107.9
E00188282,1773.8
E00060867,18089.4
E00060868,9372.5
E00060874,431.1
E00060878,7834.8
E00060984,4156
E00188220,9325.8
E00188234,8511.6
E00188239,8411.5
E00188265,4333.3
E00060988,17439
E00060995,10878.8
E00060998,7157.9
E00060812,5081.2
E00060826,15071.4
E00060828,18882
E00060829,16962
E00060830,12194.1
E00060832,10146.5
E00060810,10568.7
E00060824,4318.2
E00060825,3354.4
E00060827,3757.5
E00174106,3231.4
E00060813,7401.1
E00060815,7950.5
E00060817,5450.1
E00060820,6111.1
E00060822,935.5
E00060831,7139
E00060811,5000
E00060814,6733.8
E00060818,390.9
E00060819,4029.5
E00060821,3475.6
E00060701,19753.1
E00060702,20534
E00060709,15441.9
E00060711,12731.5
E00060726,9604
E00060704,7677.1
E00060705,6095
E00060706,8971.4
E00060708,15276.1
E00060717,9147.9
E00060699,17258.1
E00060710,16000
E00060715,19080.5
E00060716,17516.3
E00060720,14780.2
E00060707,10459
E00060712,6287.2
E00060727,15127.1
E00060728,22432.4
E00060713,12359
E00060714,15088.8
E00060718,16075.9
E00060719,17409.6
E00060721,17000
E00060703,702.7
E00060722,4454
E00060723,3778.2
E00060725,6355.1
E00174116,3707.4
E00060896,4581.2
E00060900,3771.6
E00060901,5190.8
E00060903,6131.5
E00060914,3857.6
E00060897,5877.7
E00060899,3136.7
E00060902,1402.2
E00060904,7370.9
E00060913,2696.7
E00060905,4772
E00060906,4047
E00060909,10066.4
E00060910,5803.6
E00060911,7421.7
E00060898,3208.1
E00060907,2059.2
E00060908,3891.7
E00060912,3185
E00060915,5788.5
E00060976,4777.1
E00060981,6666.7
E00060982,5514.3
E00188218,6711.3
E00188221,6013.9
E00060916,8029.7
E00060925,18645.2
E00060926,16812.5
E00060927,15750
E00060930,8618.4
E00060917,9905.1
E00060921,7761.2
E00060922,7599
E00060923,4649
E00060929,961.4
E00060931,6630.1
E00060932,7116.7
E00060933,7087.2
E00060918,10095.5
E00060919,14583.3
E00060920,5782
E00060924,7215.2
E00060928,4924.9
E00060659,6763
E00060660,8403.4
E00060661,3459.6
E00060663,9542.7
E00188237,4336.2
E00188241,7401.6
E00060664,4232.5
E00060665,7242.2
E00060666,6358.5
E00060668,6182.6
E00060669,4253.7
E00060651,9567
E00060652,4684.9
E00060656,6568
E00060667,7823
E00174108,4271.1
E00174109,2064.8
E00060598,9598.5
E00060600,4213.1
E00060602,9186
E00060610,7943
E00060611,5053.8
E00060612,5289.6
E00060596,1606.7
E00060601,3815.4
E00060606,1990
E00060607,8461.5
E00060608,7070.4
E00060609,5752.2
E00060613,7385
E00060595,4228.3
E00060597,5141.5
E00060599,3951.7
E00060603,5162
E00060604,2827.8
E00060605,5246.8
E00060970,3027.5
E00060972,3438.1
E00060973,4795
E00060974,6111.1
E00060975,4756.9
E00060965,7068.2
E00060966,4969.2
E00060971,4192
E00060977,15064.9
E00060979,3663.1
E00060967,2637.1
E00060968,3435.2
E00060969,5528.2
E00060978,8285
E00060983,4942.5
E00060576,6674
E00060579,851
E00060590,7015.4
E00060591,6542.7
E00060592,5761.7
E00060593,2057.3
E00060574,5803.9
E00060575,1874.6
E00060577,6529.9
E00060578,5571.2
E00060594,6052.6
E00060584,3105.7
E00060586,6368.2
E00060587,442
E00060588,5826.1
E00060589,6631
E00060580,2321.2
E00060581,6395.8
E00060582,8600.5
E00060583,6131.8
E00060585,7084.2
E00060785,7053.2
E00060786,6378.2
E00060793,5962.3
E00060796,4584.4
E00060797,7644.2
E00060787,8529.4
E00060790,6408.8
E00060795,5561.8
E00060805,9378.5
E00060808,8481
E00060788,4768.7
E00060789,5967.9
E00060791,5639.9
E00060792,4109.9
E00060794,7303.4
E00060798,8709.7
E00060799,4422.8
E00060800,14322.9
E00060802,7572.8
E00174113,11096.8
E00174114,9559.5
E00174115,10386.3
E00060803,7475.7
E00060804,1122.5
E00060806,3305.9
E00060807,7500
E00060809,10978.3
E00060935,5105.6
E00060936,6025.6
E00060937,8457.7
E00060945,4871.8
E00060947,4096.6
E00060938,4927.5
E00060948,7637.6
E00060950,7036.2
E00060952,3333.3
E00060953,5047
E00060934,4306.3
E00060939,7218.4
E00060943,7990.7
E00060949,2846.9
E00060951,6319.7
E00060954,8638.9
E00060940,6466.8
E00060941,5124
E00060942,5703.7
E00060944,4317.5
E00060946,5481.9
E00060615,5710.4
E00060620,655.8
E00060625,2682.9
E00174107,3978.2
E00174117,8920.9
E00174118,10626.8
E00060616,4034.5
E00060619,7514.3
E00060628,6798.9
E00060629,5474.5
E00060631,7188.2
E00060614,7937.2
E00060618,4857.1
E00060622,1706.4
E00060627,4303.1
E00060630,5435.7
E00060617,2577.4
E00060621,6884.6
E00060623,6296.3
E00060624,727.8
E00060558,4956.2
E00060559,3343.4
E00060561,1444.4
E00060562,605.4
E00060572,3935.5
E00060556,4271.1
E00060565,3406.4
E00060567,4942.9
E00060568,7360
E00060566,4223.2
E00060569,6371
E00060570,7847.5
E00060571,4218.4
E00060573,2755.3
E00060557,7042.9
E00060560,5222.5
E00060563,3357.4
E00060564,2137.9
E00060757,3763.9
E00060758,2579.4
E00060759,4573.1
E00060760,3861.4
E00060762,6768.7
E00188211,335
E00188224,1444.7
E00060751,6638.4
E00060763,2752.4
E00060764,7320.7
E00060765,4838.7
E00060766,4133.3
E00060750,3773.8
E00060752,3859.6
E00060753,5950.6
E00060754,5778.5
E00060755,3818.7
E00060756,1064.4
E00060778,4202.9
E00060780,5133.1
E00060781,5045.5
E00060782,4483.4
E00060784,3119.2
E00060767,9025.2
E00060768,9356.9
E00060769,4701
E00060770,6365.9
E00060771,9123.9
